62495a9359348cdc1a3b6fc5755b47e9,1,1
9239928c47d7b529316269e0fa3bec17,0,1
fc1022520b141f010b6d7c94f3f98713,2,1
77c859053161ddd5a43b96fb3a75ba68,1,1
6602d483506bbc4f27796473a273e2c7,2,1
12c8c434c58d8a32b3a14f88aac728d5,2,1
3e9ff1c6b53ff91b250efbdddcebebbe,1,1
1592dc5e8a9ee64195fa0769b3a909cb,1,1
23ea1a556c8ef8b93df7dbbc5586b71b,2,1
3fb0880052e00046a0b146506068e5a1,2,1
150360d93d94a38a2727ad19a25bb863,2,1
7cd92271d404d62c9302e296e610076c,2,1
fbe917dc4ce5c5b1f82fbfda31211643,2,1
a4314f6944f6a9a80a2c6472432578be,2,1
81848a5d2cd5acafb96bbb258a64e177,2,1
5c4744c3dc754fffbfbb2871367641a7,2,1
ca496ace0b27a6780eed49455f643f58,2,1
